,Date,weighted_open
0,Oct 02  2019,17.21934888763718
1,Oct 01  2019,17.046089117792114
2,Sep 30  2019,17.390871342278327
3,Sep 29  2019,17.73756683706474
4,Sep 28  2019,17.29912965957591
5,Sep 27  2019,16.576082813953015
6,Sep 26  2019,17.08589749073939
7,Sep 25  2019,17.495094101580023
8,Sep 24  2019,20.31018571205493
9,Sep 23  2019,21.87776071305415
10,Sep 22  2019,21.99701423570874
11,Sep 21  2019,22.668395229135825
12,Sep 20  2019,23.047445309371
13,Sep 19  2019,22.71289200285966
14,Sep 18  2019,22.03072551707579
15,Sep 17  2019,21.652802115004942
16,Sep 16  2019,22.440933250191524
17,Sep 15  2019,22.868681078138255
18,Sep 14  2019,22.859068042876412
19,Sep 13  2019,22.9545196713994
20,Sep 12  2019,22.23194109877726
21,Sep 11  2019,22.52989264376173
22,Sep 10  2019,23.750286384826513
23,Sep 09  2019,24.461276404805293
24,Sep 08  2019,23.89787075497487
25,Sep 07  2019,23.56802066166776
26,Sep 06  2019,24.370877393875134
27,Sep 05  2019,24.504289543925147
28,Sep 04  2019,25.24616902827441
29,Sep 03  2019,24.54455646607419
30,Sep 02  2019,23.65649064225971
31,Sep 01  2019,22.51567046689392
32,Aug 31  2019,22.637743204312457
33,Aug 30  2019,22.34273549203572
34,Aug 29  2019,22.667529080046407
35,Aug 28  2019,23.80029254396084
36,Aug 27  2019,24.257012714003476
37,Aug 26  2019,23.86967528760648
38,Aug 25  2019,23.975774477627787
39,Aug 24  2019,24.41918649575731
40,Aug 23  2019,24.103254660580397
41,Aug 22  2019,24.160585996709788
42,Aug 21  2019,25.722226885976788
43,Aug 20  2019,25.836287189973763
44,Aug 19  2019,24.939575393518425
45,Aug 18  2019,24.67186964958653
46,Aug 17  2019,24.67800377174574
47,Aug 16  2019,24.641529139371098
48,Aug 15  2019,25.14653180344765
49,Aug 14  2019,25.604951662561525
50,Aug 13  2019,26.61928897460229
51,Aug 12  2019,27.07236997493603
52,Aug 11  2019,26.44401971191709
53,Aug 10  2019,26.2974089113908
54,Aug 09  2019,26.767558157511303
55,Aug 08  2019,29.319916951277545
56,Aug 07  2019,30.17026396261539
57,Aug 06  2019,30.456564276455577
58,Aug 05  2019,27.817472894983055
59,Aug 04  2019,27.447454597584237
60,Aug 03  2019,27.664122907326075
61,Aug 02  2019,27.158016222662518
62,Aug 01  2019,26.254358236054337
63,Jul 31  2019,24.583809049366245
64,Jul 30  2019,24.904861094301193
65,Jul 29  2019,25.15744472609689
66,Jul 28  2019,24.99608404017708
67,Jul 27  2019,26.02125760314821
68,Jul 26  2019,26.342236530492798
69,Jul 25  2019,26.68950975264013
70,Jul 24  2019,27.217348929115623
71,Jul 23  2019,28.075738405156862
72,Jul 22  2019,28.837189079399536
73,Jul 21  2019,29.013337614147655
74,Jul 20  2019,28.091528707253637
75,Jul 19  2019,28.485859252140216
76,Jul 18  2019,27.188346049730033
77,Jul 17  2019,25.599432609910686
78,Jul 16  2019,29.246788048147828
79,Jul 15  2019,27.415860351808966
80,Jul 14  2019,29.966290606888283
81,Jul 13  2019,30.48743410348772
82,Jul 12  2019,29.320336126965884
83,Jul 11  2019,31.42684558597252
84,Jul 10  2019,32.39704343555785
85,Jul 09  2019,31.437521106804624
86,Jul 08  2019,30.64562400017737
87,Jul 07  2019,29.216825796659492
88,Jul 06  2019,28.694757574561944
89,Jul 05  2019,29.549633363389106
90,Jul 04  2019,31.00540235713523
91,Jul 03  2019,28.401082254909838
92,Jul 02  2019,28.515469386187714
93,Jul 01  2019,29.49212401925931
94,Jun 30  2019,33.95949044611768
95,Jun 29  2019,32.75246300325325
96,Jun 28  2019,29.954931234533507
97,Jun 27  2019,33.719940718088914
98,Jun 26  2019,30.836493606064145
99,Jun 25  2019,31.227685911953248
100,Jun 24  2019,33.0199871725779
101,Jun 23  2019,29.627939650627734
102,Jun 22  2019,28.571910436524753
103,Jun 21  2019,28.316017744726512
104,Jun 20  2019,27.239841976058162
105,Jun 19  2019,27.545461334553423
106,Jun 18  2019,27.882514857157528
107,Jun 17  2019,26.75021567868937
108,Jun 16  2019,26.441691543634118
109,Jun 15  2019,25.490744365559344
110,Jun 14  2019,26.684225753321794
111,Jun 13  2019,26.936968999490198
112,Jun 12  2019,26.528964848398147
113,Jun 11  2019,26.179720931237522
114,Jun 10  2019,25.445186544043448
115,Jun 09  2019,25.25050622993072
116,Jun 08  2019,25.58371117772805
117,Jun 07  2019,24.396036467509884
118,Jun 06  2019,24.780869767775318
119,Jun 05  2019,24.03246979061905
120,Jun 04  2019,25.39207894505852
121,Jun 03  2019,27.560512776262456
122,Jun 02  2019,26.89347762878896
123,Jun 01  2019,26.91498262166667
124,May 31  2019,26.44153292647469
125,May 30  2019,27.025547148317955
126,May 29  2019,26.828211865675225
127,May 28  2019,27.616422594327904
128,May 27  2019,27.046126066954432
129,May 26  2019,26.500942241630554
130,May 25  2019,26.51072164715203
131,May 24  2019,26.246211750935245
132,May 23  2019,26.863732775621447
133,May 22  2019,28.164535628853805
134,May 21  2019,27.752604831494164
135,May 20  2019,28.519035355964444
136,May 19  2019,27.338211575322102
137,May 18  2019,27.114849654165777
138,May 17  2019,29.240450123434613
139,May 16  2019,31.69383142085708
140,May 15  2019,27.113977778842546
141,May 14  2019,27.414092813153307
142,May 13  2019,25.53550551572908
143,May 12  2019,27.656185723073985
144,May 11  2019,24.410493787734893
145,May 10  2019,24.320642742799937
146,May 09  2019,24.22284567394149
147,May 08  2019,24.228704215842075
148,May 07  2019,24.713030882641252
