,Date,weighted_High
0,Oct 02  2019,17.406728799446277
1,Oct 01  2019,17.495534207265766
2,Sep 30  2019,17.44008568610888
3,Sep 29  2019,18.151210499461673
4,Sep 28  2019,17.811111366210827
5,Sep 27  2019,17.2946427885084
6,Sep 26  2019,17.302421991436894
7,Sep 25  2019,17.740398368464284
8,Sep 24  2019,20.64394233359122
9,Sep 23  2019,21.887593309772285
10,Sep 22  2019,22.026423387510853
11,Sep 21  2019,22.82532968692476
12,Sep 20  2019,23.11626951021264
13,Sep 19  2019,23.15669927797692
14,Sep 18  2019,22.86895927544036
15,Sep 17  2019,22.243867663350393
16,Sep 16  2019,22.56899849114074
17,Sep 15  2019,22.996824045898734
18,Sep 14  2019,23.01678470590924
19,Sep 13  2019,23.111635159674673
20,Sep 12  2019,23.00838007006077
21,Sep 11  2019,22.706443672742367
22,Sep 10  2019,23.809153713730204
23,Sep 09  2019,24.638032074768287
24,Sep 08  2019,24.870296140190952
25,Sep 07  2019,24.245928436682323
26,Sep 06  2019,24.893811770687915
27,Sep 05  2019,24.612758812698434
28,Sep 04  2019,25.265892884948627
29,Sep 03  2019,25.560663072078835
30,Sep 02  2019,24.691885318094744
31,Sep 01  2019,23.80481154912128
32,Aug 31  2019,22.86451336601812
33,Aug 30  2019,22.776573939682258
34,Aug 29  2019,22.71654081183395
35,Aug 28  2019,24.115265318320308
36,Aug 27  2019,24.34461848123179
37,Aug 26  2019,24.316921116064634
38,Aug 25  2019,24.45179601597962
39,Aug 24  2019,24.700868082772608
40,Aug 23  2019,25.40559334864696
41,Aug 22  2019,25.725940925215358
42,Aug 21  2019,25.809816322023295
43,Aug 20  2019,26.1380622424202
44,Aug 19  2019,25.76228675006376
45,Aug 18  2019,25.25650098423769
46,Aug 17  2019,25.201724950517615
47,Aug 16  2019,24.923427416440045
48,Aug 15  2019,25.49635251836296
49,Aug 14  2019,25.78993024796738
50,Aug 13  2019,26.78475562394698
51,Aug 12  2019,27.17946567044383
52,Aug 11  2019,27.261560100624674
53,Aug 10  2019,27.075480355268397
54,Aug 09  2019,26.806425659839494
55,Aug 08  2019,29.319919595979066
56,Aug 07  2019,31.630335715170297
57,Aug 06  2019,32.07189657280901
58,Aug 05  2019,31.282365654434116
59,Aug 04  2019,27.798587943787822
60,Aug 03  2019,28.1224385828176
61,Aug 02  2019,27.675128883472997
62,Aug 01  2019,27.211890612570155
63,Jul 31  2019,26.242986024861324
64,Jul 30  2019,25.177471836270826
65,Jul 29  2019,25.498325581330878
66,Jul 28  2019,25.307800631221536
67,Jul 27  2019,27.32626628732203
68,Jul 26  2019,26.342245799097928
69,Jul 25  2019,27.264406849529237
70,Jul 24  2019,27.227069092716654
71,Jul 23  2019,28.1146734038037
72,Jul 22  2019,28.944235972094493
73,Jul 21  2019,29.49039209351844
74,Jul 20  2019,29.47388462582911
75,Jul 19  2019,28.846807103535166
76,Jul 18  2019,28.91259933826506
77,Jul 17  2019,28.414526715465858
78,Jul 16  2019,29.45079238701256
79,Jul 15  2019,29.734603051570808
80,Jul 14  2019,30.500873770829287
81,Jul 13  2019,30.74914887726185
82,Jul 12  2019,31.25820085612342
83,Jul 11  2019,31.513889481055486
84,Jul 10  2019,34.68497951329124
85,Jul 09  2019,32.95992925537412
86,Jul 08  2019,31.594587403503144
87,Jul 07  2019,31.06704381736413
88,Jul 06  2019,30.15514094275345
89,Jul 05  2019,29.791692779108278
90,Jul 04  2019,31.306531670893445
91,Jul 03  2019,31.03533127267364
92,Jul 02  2019,28.709056477120765
93,Jul 01  2019,30.595203176171555
94,Jun 30  2019,34.61830835905041
95,Jun 29  2019,34.223969728770044
96,Jun 28  2019,32.765523906074606
97,Jun 27  2019,35.77666103777361
98,Jun 26  2019,36.0733293595212
99,Jun 25  2019,31.50609502830599
100,Jun 24  2019,33.24033677580589
101,Jun 23  2019,33.19930787470193
102,Jun 22  2019,29.987931162088902
103,Jun 21  2019,28.89453894978935
104,Jun 20  2019,28.10135328974304
105,Jun 19  2019,27.860379478075032
106,Jun 18  2019,28.312750210650883
107,Jun 17  2019,28.27823638179362
108,Jun 16  2019,28.219030515287404
109,Jun 15  2019,26.57456878266032
110,Jun 14  2019,26.836505874092847
111,Jun 13  2019,27.281328902548488
112,Jun 12  2019,27.189660830373995
113,Jun 11  2019,26.81466297998249
114,Jun 10  2019,26.282290941836326
115,Jun 09  2019,26.21103875568502
116,Jun 08  2019,26.17302052261299
117,Jun 07  2019,25.728585356044764
118,Jun 06  2019,24.99885709362439
119,Jun 05  2019,25.19626563411954
120,Jun 04  2019,25.410994726571374
121,Jun 03  2019,27.60783320615817
122,Jun 02  2019,27.784400631172712
123,Jun 01  2019,27.828978583190985
124,May 31  2019,27.069893487817673
125,May 30  2019,30.034606106934014
126,May 29  2019,27.207992596564946
127,May 28  2019,27.616603628887397
128,May 27  2019,28.33217745063629
129,May 26  2019,26.924919263402174
130,May 25  2019,27.17705582955543
131,May 24  2019,27.4638213472491
132,May 23  2019,26.863869803710166
133,May 22  2019,28.355140821880443
134,May 21  2019,28.31837735421444
135,May 20  2019,28.528619293304438
136,May 19  2019,30.350549104734075
137,May 18  2019,27.81619570846929
138,May 17  2019,29.25950781030328
139,May 16  2019,33.29185835587685
140,May 15  2019,32.17782667475043
141,May 14  2019,38.09100420700828
142,May 13  2019,27.957342305745776
143,May 12  2019,28.149131728910785
144,May 11  2019,28.934313439527923
145,May 10  2019,24.87091226906494
146,May 09  2019,24.725808421693937
147,May 08  2019,24.45697346435859
148,May 07  2019,25.732875253895575
