,Date,weighted_Low
0,Oct 02  2019,16.805047392004976
1,Oct 01  2019,16.840918993092064
2,Sep 30  2019,16.101567859019042
3,Sep 29  2019,17.048151511248328
4,Sep 28  2019,17.210514098843486
5,Sep 27  2019,16.487493159876255
6,Sep 26  2019,16.05247034700448
7,Sep 25  2019,16.47463525622993
8,Sep 24  2019,17.512510343186584
9,Sep 23  2019,20.324124166164175
10,Sep 22  2019,21.61471632580097
11,Sep 21  2019,21.932969721166412
12,Sep 20  2019,22.28116598278722
13,Sep 19  2019,21.815423872226603
14,Sep 18  2019,21.71514487675105
15,Sep 17  2019,21.426227956225272
16,Sep 16  2019,21.485379614232425
17,Sep 15  2019,22.37582317144766
18,Sep 14  2019,22.632317085131817
19,Sep 13  2019,22.473440114009417
20,Sep 12  2019,21.72082768942575
21,Sep 11  2019,21.71580314314655
22,Sep 10  2019,22.327833053114226
23,Sep 09  2019,23.665870131976902
24,Sep 08  2019,23.8978703977012
25,Sep 07  2019,23.381363904515926
26,Sep 06  2019,23.49273955066364
27,Sep 05  2019,24.11971805071831
28,Sep 04  2019,24.39805959057691
29,Sep 03  2019,24.248594565384806
30,Sep 02  2019,23.222604150100196
31,Sep 01  2019,22.495985937003343
32,Aug 31  2019,22.302517065388162
33,Aug 30  2019,22.11593715817327
34,Aug 29  2019,21.697731709733926
35,Aug 28  2019,22.67815392692925
36,Aug 27  2019,23.410143804280477
37,Aug 26  2019,23.72381692996166
38,Aug 25  2019,23.781482254091422
39,Aug 24  2019,23.690701812206598
40,Aug 23  2019,24.064377864865655
41,Aug 22  2019,23.188344059486123
42,Aug 21  2019,23.532498441754857
43,Aug 20  2019,25.26185817772406
44,Aug 19  2019,24.85247463259262
45,Aug 18  2019,24.428147887227155
46,Aug 17  2019,24.193058671291503
47,Aug 16  2019,23.592032403763906
48,Aug 15  2019,23.251818623006386
49,Aug 14  2019,24.426920483225274
50,Aug 13  2019,25.392940994771433
51,Aug 12  2019,26.546687794431048
52,Aug 11  2019,25.986566111212017
53,Aug 10  2019,25.704152012089587
54,Aug 09  2019,25.56275953271614
55,Aug 08  2019,25.969408765283173
56,Aug 07  2019,29.34302835773693
57,Aug 06  2019,29.898536428163847
58,Aug 05  2019,27.81741336078967
59,Aug 04  2019,26.95976835228672
60,Aug 03  2019,27.25457974407853
61,Aug 02  2019,26.680024480330157
62,Aug 01  2019,25.961207812688702
63,Jul 31  2019,24.554498447863594
64,Jul 30  2019,24.42779841695483
65,Jul 29  2019,24.738637727935362
66,Jul 28  2019,24.31420438030858
67,Jul 27  2019,24.852632214135735
68,Jul 26  2019,25.689526608693697
69,Jul 25  2019,26.17294200004759
70,Jul 24  2019,26.07036438970926
71,Jul 23  2019,26.94767880454411
72,Jul 22  2019,27.630794615989892
73,Jul 21  2019,27.961851966376763
74,Jul 20  2019,27.935787863638367
75,Jul 19  2019,27.52976010672961
76,Jul 18  2019,25.717409281967967
77,Jul 17  2019,25.25837543506488
78,Jul 16  2019,25.468358105115215
79,Jul 15  2019,26.34872025630738
80,Jul 14  2019,27.254379385776197
81,Jul 13  2019,28.830603334506456
82,Jul 12  2019,28.806634299595192
83,Jul 11  2019,28.47519709090595
84,Jul 10  2019,30.681229506963533
85,Jul 09  2019,31.24354866136326
86,Jul 08  2019,29.687056588759997
87,Jul 07  2019,29.06182074311758
88,Jul 06  2019,28.675411506854566
89,Jul 05  2019,28.339758180213057
90,Jul 04  2019,29.674651689553613
91,Jul 03  2019,28.400932638917563
92,Jul 02  2019,25.63110182923608
93,Jul 01  2019,27.198973813921146
94,Jun 30  2019,29.192397583018742
95,Jun 29  2019,31.07752228044807
96,Jun 28  2019,29.472049585387285
97,Jun 27  2019,28.35071078355028
98,Jun 26  2019,30.509784431049063
99,Jun 25  2019,29.7978015261112
100,Jun 24  2019,30.864291206256553
101,Jun 23  2019,28.667913403742276
102,Jun 22  2019,27.7782618550833
103,Jun 21  2019,27.901243155466343
104,Jun 20  2019,26.19636095191175
105,Jun 19  2019,26.715708532618105
106,Jun 18  2019,27.30914908901797
107,Jun 17  2019,26.654425051509797
108,Jun 16  2019,26.11854501260927
109,Jun 15  2019,25.19598960494041
110,Jun 14  2019,23.734235818408457
111,Jun 13  2019,26.592198085813784
112,Jun 12  2019,26.123303419402568
113,Jun 11  2019,25.374639698991956
114,Jun 10  2019,24.788846025935932
115,Jun 09  2019,24.68927581438406
116,Jun 08  2019,24.69987903402714
117,Jun 07  2019,24.12935121061306
118,Jun 06  2019,23.283545357902373
119,Jun 05  2019,24.02292979737699
120,Jun 04  2019,23.577560362043513
121,Jun 03  2019,25.364648117339925
122,Jun 02  2019,26.855529400962183
123,Jun 01  2019,26.81023758852575
124,May 31  2019,25.841914565946666
125,May 30  2019,26.092270392461753
126,May 29  2019,26.002131961300133
127,May 28  2019,26.33594963427296
128,May 27  2019,26.582601378676635
129,May 26  2019,25.710143456964015
130,May 25  2019,26.396482633974617
131,May 24  2019,25.865655397463822
132,May 23  2019,24.48813895091188
133,May 22  2019,26.782794317834142
134,May 21  2019,27.271522190854494
135,May 20  2019,26.542969885203384
136,May 19  2019,27.290781207370724
137,May 18  2019,26.934698618609037
138,May 17  2019,25.663419599073084
139,May 16  2019,29.058944875516207
140,May 15  2019,27.113939089734753
141,May 14  2019,25.219472271847227
142,May 13  2019,25.287352014191576
143,May 12  2019,25.10677095584134
144,May 11  2019,24.010461937270748
145,May 10  2019,24.235184690490502
146,May 09  2019,24.04242915963646
147,May 08  2019,23.7535942115593
148,May 07  2019,24.312687715740417
