,Date,weighted_close
0,Oct 02  2019,17.022019758178132
1,Oct 01  2019,17.046436315790057
2,Sep 30  2019,17.174350061314815
3,Sep 29  2019,17.40270524416029
4,Sep 28  2019,17.74219037279096
5,Sep 27  2019,17.274955999842206
6,Sep 26  2019,16.583941087880014
7,Sep 25  2019,17.0339248668282
8,Sep 24  2019,17.512513631079912
9,Sep 23  2019,20.324124170972745
10,Sep 22  2019,21.800966554510318
11,Sep 21  2019,22.001745415614835
12,Sep 20  2019,22.72330510680691
13,Sep 19  2019,23.146832787474203
14,Sep 18  2019,22.730877726568792
15,Sep 17  2019,21.958187041343486
16,Sep 16  2019,21.652848361220126
17,Sep 15  2019,22.523680342213456
18,Sep 14  2019,22.859034613047733
19,Sep 13  2019,22.768005443635612
20,Sep 12  2019,22.998514760345955
21,Sep 11  2019,22.18660146663689
22,Sep 10  2019,22.48479780105851
23,Sep 09  2019,23.754248144182313
24,Sep 08  2019,24.487224222982714
25,Sep 07  2019,23.941382983853615
26,Sep 06  2019,23.67033985657149
27,Sep 05  2019,24.356377580670223
28,Sep 04  2019,24.506539519847653
29,Sep 03  2019,25.244973578719605
30,Sep 02  2019,24.54396548554373
31,Sep 01  2019,23.607997429343605
32,Aug 31  2019,22.549007251138356
33,Aug 30  2019,22.618793780498454
34,Aug 29  2019,22.197363907984364
35,Aug 28  2019,22.796269105285948
36,Aug 27  2019,23.546422494376493
37,Aug 26  2019,24.248846146603725
38,Aug 25  2019,23.86891332638733
39,Aug 24  2019,23.94324514701824
40,Aug 23  2019,24.443424114109025
41,Aug 22  2019,24.11198579124739
42,Aug 21  2019,24.184548622875834
43,Aug 20  2019,25.7291346794764
44,Aug 19  2019,25.704220993731273
45,Aug 18  2019,25.110221563599854
46,Aug 17  2019,24.552032565428608
47,Aug 16  2019,24.719282751529214
48,Aug 15  2019,24.64129112870636
49,Aug 14  2019,25.196038102274454
50,Aug 13  2019,25.58759774303844
51,Aug 12  2019,26.614849842420977
52,Aug 11  2019,27.05716060883499
53,Aug 10  2019,26.42381387451914
54,Aug 09  2019,26.27201336519733
55,Aug 08  2019,26.746339212155977
56,Aug 07  2019,29.36262883858479
57,Aug 06  2019,30.36845157157018
58,Aug 05  2019,30.43076317320672
59,Aug 04  2019,27.691295903606324
60,Aug 03  2019,27.439863375049292
61,Aug 02  2019,27.675126716281664
62,Aug 01  2019,27.192333411485247
63,Jul 31  2019,26.242833723694318
64,Jul 30  2019,24.534903398030966
65,Jul 29  2019,24.91395482255609
66,Jul 28  2019,25.15194045011578
67,Jul 27  2019,24.99871227080448
68,Jul 26  2019,26.030497247817806
69,Jul 25  2019,26.367824970660447
70,Jul 24  2019,26.64385715456641
71,Jul 23  2019,27.229693807051707
72,Jul 22  2019,28.06860576604447
73,Jul 21  2019,28.886760807487033
74,Jul 20  2019,28.977456868077105
75,Jul 19  2019,28.154103546917728
76,Jul 18  2019,28.445017498057876
77,Jul 17  2019,27.17734732680558
78,Jul 16  2019,25.46837167207114
79,Jul 15  2019,29.29804285394434
80,Jul 14  2019,27.62375454818767
81,Jul 13  2019,29.886791640711984
82,Jul 12  2019,30.48287322951675
83,Jul 11  2019,29.00595100526064
84,Jul 10  2019,31.582762074716864
85,Jul 09  2019,32.37806725489084
86,Jul 08  2019,31.410608654924534
87,Jul 07  2019,30.689246504732665
88,Jul 06  2019,29.236372641047808
89,Jul 05  2019,28.736657374470855
90,Jul 04  2019,29.694093631317855
91,Jul 03  2019,31.034964985475607
92,Jul 02  2019,28.27348158605718
93,Jul 01  2019,28.495528336199282
94,Jun 30  2019,29.570247583314526
95,Jun 29  2019,33.95282456178928
96,Jun 28  2019,32.66889528081519
97,Jun 27  2019,29.905394210411007
98,Jun 26  2019,33.536586988191324
99,Jun 25  2019,30.805486514067347
100,Jun 24  2019,31.2479270825304
101,Jun 23  2019,33.093642881626174
102,Jun 22  2019,29.50019857580767
103,Jun 21  2019,28.807498530174716
104,Jun 20  2019,28.10109825668959
105,Jun 19  2019,27.144950125815285
106,Jun 18  2019,27.58627279135069
107,Jun 17  2019,27.88636529789114
108,Jun 16  2019,26.60331257125977
109,Jun 15  2019,26.460455749400957
110,Jun 14  2019,25.43263281505785
111,Jun 13  2019,26.898282272992994
112,Jun 12  2019,26.576414449707276
113,Jun 11  2019,26.634474451918425
114,Jun 10  2019,26.282234151806648
115,Jun 09  2019,25.48822809918285
116,Jun 08  2019,25.232184515777984
117,Jun 07  2019,25.623755730180854
118,Jun 06  2019,24.344968749819998
119,Jun 05  2019,24.72312805144297
120,Jun 04  2019,23.993505194814308
121,Jun 03  2019,25.449951358684395
122,Jun 02  2019,27.623249238030198
123,Jun 01  2019,27.01970410982188
124,May 31  2019,26.860360267029115
125,May 30  2019,26.454133345115938
126,May 29  2019,26.91353023363788
127,May 28  2019,26.618578697775696
128,May 27  2019,27.71734171325236
129,May 26  2019,26.924858314034495
130,May 25  2019,26.805789908506163
131,May 24  2019,26.49350117349206
132,May 23  2019,26.208208976841306
133,May 22  2019,26.878082502483803
134,May 21  2019,27.903368573087203
135,May 20  2019,27.719435039776037
136,May 19  2019,28.664491273503888
137,May 18  2019,27.399089907572193
138,May 17  2019,27.073545018111716
139,May 16  2019,29.363464321947845
140,May 15  2019,31.75964631221108
141,May 14  2019,27.25182996101171
142,May 13  2019,27.346895523616613
143,May 12  2019,25.381757642139362
144,May 11  2019,27.820038830885192
145,May 10  2019,24.32066274742378
146,May 09  2019,24.393738195027705
147,May 08  2019,24.25740296518318
148,May 07  2019,24.312735164374665
